position,candidate,party,district
VICE-MAYOR,"LINAS, MOHAMMAD",IND,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
VICE-MAYOR,"SINSUAT, ISRAEL",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"ABUTAZIL, KAGUI",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"BAYING, GRACE",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"LIDASAN, SAIDIE",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"PEÑALOZA, ALEX",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"ADAMAT, ROLANDO",IND,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"DE VERA, NESTOR",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"MAHINAY, ERWIN",IND,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"PLATON, NEIL CHRISTOPHER",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"ALGAN, RON",IND,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"GERSALINO, JESS",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"MORALES, SARAH",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"PORTIGO, FLORANTE",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"BACAS, GINA",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"IBAÑEZ, WILFREDO",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"OLUBALANG, JAY",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"SINSUAT, MASH",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"BARNESO, NONOY",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"JULIO, ROQUE",IND,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"OLVIDO, CHARLIE",ITIHAD,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
SANGGUNIANG BAYAN,"TIBAN, NESTOR",UBJP,BFT_BARMM\MAGUINDANAO DEL NORTE\UPI
HOUSE OF REPRESENTATIVES,"MANGUDADATU, ESMAEL",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
HOUSE OF REPRESENTATIVES,"PAGLAS, TONG",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
PROVINCIAL GOVERNOR,"MANGUDADATU, BAI MARIAM",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
PROVINCIAL GOVERNOR,"MIDTIMBANG, ALI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
PROVINCIAL VICE-GOVERNOR,"AMPATUAN, DATU BENZAR",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
PROVINCIAL VICE-GOVERNOR,"NANDO, HISHAM",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"BANGKULIT, ALONTO MONTAWAL",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"MAKAKENA, ENGR. SAID",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"NANDO, RAHIB",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"SABPEL, MENTONGAN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"DELANGALEN, DATU LUMINOG",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"MAKALAY, MANSOR",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"PAGLAS, ALLAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"DELNA, ALADEN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"MAMANTAL, MAMATANTO",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"PAGLAS, YUSSEF ABUBAKAR",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"GUIMBA, MAMA",IND,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"MANGELEN, FAUJIAH",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG PANLALAWIGAN,"PIANG, APAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
MAYOR,"SANGKI, ABDULWADUD",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
MAYOR,"SANGKI, BAILEAH",IND,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
MAYOR,"SANGKI, DATU RASUL",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
VICE-MAYOR,"BAÑAGA, BONGBONG",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
VICE-MAYOR,"SANGKI, DATU AMIRODDIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
VICE-MAYOR,"SANGKI, MOHAMAD",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"COLMO, EDUARDO",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"MALANG, MUSTAPHIN JR",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SANGKI, BAI RAMLA",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SANGKI, SAMNON",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"CORDERO, CHARLIE",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"MANALASAL, ABDULMANAN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SANGKI, BAISAHIRA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SANTO, MOHAMAD",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"DOLOR, ALLAN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SALASAL, SALAMA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SANGKI, DATU ROX",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"TARUZAN, ARLAN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"DOLOR, JAIME",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SANGKI, ASIM",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"SANGKI, KHOMINIE",NP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
SANGGUNIANG BAYAN,"USOP, ABDULRAHAM",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\AMPATUAN
MAYOR,"MANGUDADATU, IBRAHIM",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
MAYOR,"MARTINEZ, JV",NP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
VICE-MAYOR,"DIMASINSIL, ANWAR",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
VICE-MAYOR,"MANGUDADATU, KUYA KING",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"ALAMADA, TAHIR",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"KADALIM, RHAMLA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"MANGELEN, KHADAFFI",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"MANGUDADATU, SINGGON",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"BAGUMBAYAN, RAMZAN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"KADALUM, MING",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"MANGKO, MUTIN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"PIANG, AKBAR",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"DAUNOTAN, JEDIN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"KALIM, ERNIE",NP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"MANGUDADATU, ATE GRACE",IND,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"SALENDAB, DATU ALI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"EBUS, ALI",NP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"KAMENZA, KAGI SUWEB",IND,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"MANGUDADATU, BABYDATS",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"SANDIGAN, ALINOR",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"IDSA, MAMALANGKAS",NP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"MAKASINDIG, RASID",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"MANGUDADATU, SALI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
SANGGUNIANG BAYAN,"UYAG, ALI",NP,BFT_BARMM\MAGUINDANAO DEL SUR\BULUAN
MAYOR,"MANGUDADATU, DATU WALI",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
VICE-MAYOR,"SANGKI, SAMSODHEN",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"ABUTAZIL, AN-AN",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"ETERNO, ANATHOLLY IAN",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"MAMISON, DATU UMBOS",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"SANGKI, SUAD",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"BAGUINDA, SALAHUDIN",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"MABANG, SUHARTO",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"SANGKI, KHADAFFI",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG BAYAN,"SANGKI, YASSER",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUABDULLAHSANGKI
SANGGUNIANG PANLALAWIGAN,"AMPATUAN, BAI ZAHARA",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"KEDTAG, KAHAL",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"MIDTIMBANG, KAKA PRINCESS",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"SALIK, DATUMAMEX",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"AMPATUAN, DATU PUTI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"MACAPENDEG, KAKA JENG",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"MLOK, TAHARUDIN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"TUAN, MACMOD",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"AMPATUAN, NORODIN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"MIDTIMBANG, DATUSAPAK",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG PANLALAWIGAN,"OMAR, DATU BABA",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
MAYOR,"MIDTIMBANG, DATU NATH",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
VICE-MAYOR,"MIDTIMBANG, JOY",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"GULAM, KILAW",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"KAWILAN, BASER",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"MOHAMAD, MANSOR",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"SALIK, ESMAIL",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"KASAN, DATU ULTRA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"MIDTIMBANG, DATUCOY",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"PACO, SILONGAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
SANGGUNIANG BAYAN,"SULTAN, SANDIALE",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUANGGALMIDTIMBANG
MAYOR,"AMPATUAN, BAI NORALDY",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
MAYOR,"AMPATUAN, PRINCE SUFRI",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
MAYOR,"OMAR, MOHAMAD",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
VICE-MAYOR,"AKAN, SAMSUDIN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
VICE-MAYOR,"AMPATUAN, BONG",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
VICE-MAYOR,"DUKAY, DATUKAN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"ADAM, BAGUINDALI",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"AMPATUAN, DATU AL",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"DAINGAN, RAYNANTE",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"KENSA, TOTO",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"ALI, DAODI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"AMPATUAN, HARRIS",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"DIAN, TANO",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"UPAM, NORHUDA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"AMPATUAN, ALKHAYSIR",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"AMPATUAN, PANDAG",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"KAHAL, HARON",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"AMPATUAN, BAI FARISHA",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"AMPATUAN-SAMAMA, BAI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
SANGGUNIANG BAYAN,"KANAPIA, ALVIN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUHOFFERAMPATUAN
MAYOR,"BUKOL, ABBAS",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
MAYOR,"PAGLAS, IBRAHIM IV",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
VICE-MAYOR,"PAGLAS, ABUBAKAR",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
VICE-MAYOR,"SALENDAB, DATU TOTS",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"ABDILLAH, ZAMORA",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"DIMAPALAO, JERRY",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"MAKUNGAY, ESKIE",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"POMPONG, ALEX",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"ABDULRAHIM, ALIDIN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"MADIDIS, TONY",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"NANDO, REDWAN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"TOCAO, ALADIN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"ALIM, SAMIR",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"MADIDIS, ZAINUDIN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"NANDO, WAHABIN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"TUDON, MODS",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"AYOB, MUNDO",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"MAINDAN, MOBARACK",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"PLANG, ODIN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
SANGGUNIANG BAYAN,"YUSOP, YASSER",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPAGLAS
MAYOR,"MLOK, JAMES",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
MAYOR,"SAMAMA, VICTOR",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
VICE-MAYOR,"SAMAMA, OMAR",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
VICE-MAYOR,"TUKURAN, DATU PIA",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"ABDUL, NASH",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"ANDAMEN, DATU RAIZ",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"KASIM, HARRISTANG",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"SILONGAN, DEMPLE",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"ABDULLAH, MOHAMMAD",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"ASIM, THONG",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"MASUKAT, SUKARNAIN",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"SIMPAL, CAUSAR",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"ABUBAKAR, SALIPADA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"BADAWIYA, HONEY",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"MAYUAN, NASSER",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"UTTO, DATUAL",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"ALIMAO, TOKS",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"BALUNO, BAPA KEPA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"PIANG, RICKY",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"UYTINA, SUHARTO",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"AMPANG, TORMIS",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"EBUS, NONG",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"SAMAMA, DATU NOEL",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"ANDAL, ELLA",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"KAMAONG II, DATU DEDE",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
SANGGUNIANG BAYAN,"SAMPULNA, SHANG",ITIHAD,BFT_BARMM\MAGUINDANAO DEL SUR\DATUPIANG
MAYOR,"AMPATUAN, DATU JHONG",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
MAYOR,"SALASAL, NORODIN",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
MAYOR,"SANDIGAN, KHOMINIE",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
MAYOR,"SANDIGAN, SALAMAT",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"ABDULLAH, ABURASUL",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"GUIAMANO, HERODIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"RAJAHMUDA, ZAMAN ZR",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"SANDIGAN, SOLAIMAN JR.",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"ALI, OMS",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"MAMANTAL, ENGKONG",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"SANDIGAN, SARIP",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
VICE-MAYOR,"SANGKI, JEHAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"AKMAD, NASRUDIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"GANOY, ALLAN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MAGUID, NASIBA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"SANDIGAN, BAILYN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"ANDAL, ABDILLAH SR.",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"GANOY, SALDY",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MAMALAPAT, BASSER",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"SANDIGAN, BUSRHA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
